Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
272,The Mummy: Tomb of the Dragon Emperor,Uni.,$401.10 ,$102.50 ,25.60%,$298.60 ,74.40%,2008
273,Gone with the Wind,MGM,$400.20 ,$198.70 ,49.60%,$201.50 ,50.40%,1939^
274,Tron Legacy,BV,$400.10 ,$172.10 ,43.00%,$228.00 ,57.00%,2010
275,Mission: Impossible III,Par.,$397.90 ,$134.00 ,33.70%,$263.80 ,66.30%,2006
276,Snow White and the Huntsman,Uni.,$396.60 ,$155.30 ,39.20%,$241.30 ,60.80%,2012
277,Grease,Par.,$395.00 ,$188.80 ,47.80%,$206.20 ,52.20%,1978^
278,Twilight,Sum.,$393.60 ,$192.80 ,49.00%,$200.80 ,51.00%,2008
279,Solo: A Star Wars Story,BV,$392.80 ,$213.80 ,54.40%,$179.10 ,45.60%,2018
280,The Wolf of Wall Street,Par.,$392.00 ,$116.90 ,29.80%,$275.10 ,70.20%,2013
281,Superman Returns,WB,$391.10 ,$200.10 ,51.20%,$191.00 ,48.80%,2006
282,Mamma Mia! Here We Go Again,Uni.,$390.70 ,$120.50 ,30.80%,$270.20 ,69.20%,2018
283,Robin Hood: Prince of Thieves,WB,$390.50 ,$165.50 ,42.40%,$225.00 ,57.60%,1991
284,Raiders of the Lost Ark,Par.,$389.90 ,$248.20 ,63.60%,$141.80 ,36.40%,1981^
285,Independence Day: Resurgence,Fox,$389.70 ,$103.10 ,26.50%,$286.50 ,73.50%,2016
286,Home (2015),Fox,$386.00 ,$177.40 ,46.00%,$208.60 ,54.00%,2015
287,Star Trek,Par.,$385.70 ,$257.70 ,66.80%,$128.00 ,33.20%,2009
288,Monster Hunt,FR,$385.30 ,$32.8k,0.00%,$385.30 ,100.00%,2016
289,Happy Feet,WB,$384.30 ,$198.00 ,51.50%,$186.30 ,48.50%,2006
290,Cars 3,BV,$383.90 ,$152.90 ,39.80%,$231.00 ,60.20%,2017
291,Live Free or Die Hard,Fox,$383.50 ,$134.50 ,35.10%,$249.00 ,64.90%,2007
292,Ice Age,Fox,$383.30 ,$176.40 ,46.00%,$206.90 ,54.00%,2002
293,Monsters Vs. Aliens,P/DW,$381.50 ,$198.40 ,52.00%,$183.20 ,48.00%,2009
294,Back to the Future,Uni.,$381.10 ,$210.60 ,55.30%,$170.50 ,44.70%,1985
295,Godzilla,Sony,$379.00 ,$136.30 ,36.00%,$242.70 ,64.00%,1998
296,True Lies,Fox,$378.90 ,$146.30 ,38.60%,$232.60 ,61.40%,1994
297,Mad Max: Fury Road,WB,$378.90 ,$154.10 ,40.70%,$224.80 ,59.30%,2015^
298,Slumdog Millionaire,FoxS,$377.90 ,$141.30 ,37.40%,$236.60 ,62.60%,2008
299,Fifty Shades Darker,Uni.,$377.00 ,$114.60 ,30.40%,$262.40 ,69.60%,2017
300,Taken 2,Fox,$376.10 ,$139.90 ,37.20%,$236.30 ,62.80%,2012
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
301,G.I. Joe: Retaliation,Par.,$375.70 ,$122.50 ,32.60%,$253.20 ,67.40%,2013
302,Batman Begins,WB,$374.20 ,$206.90 ,55.30%,$167.40 ,44.70%,2005^
303,What Women Want,Par.,$374.10 ,$182.80 ,48.90%,$191.30 ,51.10%,2000
304,The Adventures of Tintin,Par.,$374.00 ,$77.60 ,20.70%,$296.40 ,79.30%,2011
305,Toy Story,BV,$373.60 ,$191.80 ,51.30%,$181.80 ,48.70%,1995^
306,X-Men Origins: Wolverine,Fox,$373.10 ,$179.90 ,48.20%,$193.20 ,51.80%,2009
307,Penguins of Madagascar,Fox,$373.00 ,$83.40 ,22.30%,$289.70 ,77.70%,2014
308,The Golden Compass,NL,$372.20 ,$70.10 ,18.80%,$302.10 ,81.20%,2007
309,Terminator Salvation,WB,$371.40 ,$125.30 ,33.70%,$246.00 ,66.30%,2009
310,Fifty Shades Freed,Uni.,$371.10 ,$100.40 ,27.10%,$270.70 ,72.90%,2018
311,Captain America: The First Avenger,Par.,$370.60 ,$176.70 ,47.70%,$193.90 ,52.30%,2011
312,Edge of Tomorrow,WB,$370.50 ,$100.20 ,27.00%,$270.30 ,73.00%,2014
313,There's Something About Mary,Fox,$369.90 ,$176.50 ,47.70%,$193.40 ,52.30%,1998
314,Gone Girl,Fox,$369.30 ,$167.80 ,45.40%,$201.60 ,54.60%,2014
315,The Fugitive,WB,$368.90 ,$183.90 ,49.80%,$185.00 ,50.20%,1993
316,Jurassic Park III,Uni.,$368.80 ,$181.20 ,49.10%,$187.60 ,50.90%,2001
317,My Big Fat Greek Wedding,IFC,$368.70 ,$241.40 ,65.50%,$127.30 ,34.50%,2002
318,Hitch,Sony,$368.10 ,$179.50 ,48.80%,$188.60 ,51.20%,2005
319,Shark Tale,DW,$367.30 ,$160.90 ,43.80%,$206.40 ,56.20%,2004
320,Die Hard: With A Vengeance,Fox,$366.10 ,$100.00 ,27.30%,$266.10 ,72.70%,1995
321,Notting Hill,Uni.,$363.90 ,$116.10 ,31.90%,$247.80 ,68.10%,1999
322,A Bug's Life,BV,$363.30 ,$162.80 ,44.80%,$200.50 ,55.20%,1998
323,Night at the Museum: Secret of the Tomb,Fox,$363.20 ,$113.70 ,31.30%,$249.50 ,68.70%,2014
324,Fast and Furious,Uni.,$363.20 ,$155.10 ,42.70%,$208.10 ,57.30%,2009
325,Ocean's Twelve,WB,$362.70 ,$125.50 ,34.60%,$237.20 ,65.40%,2004
326,Noah,Par.,$362.60 ,$101.20 ,27.90%,$261.40 ,72.10%,2014
327,Planet of the Apes (2001),Fox,$362.20 ,$180.00 ,49.70%,$182.20 ,50.30%,2001
328,The Hangover Part III,WB,$362.00 ,$112.20 ,31.00%,$249.80 ,69.00%,2013
329,The World Is Not Enough,MGM,$361.80 ,$126.90 ,35.10%,$234.90 ,64.90%,1999
330,Monster Hunt 2,LGF,$361.70 ,$706k,0.20%,$361.00 ,99.80%,2018
331,Alvin and the Chipmunks,Fox,$361.30 ,$217.30 ,60.10%,$144.00 ,39.90%,2007
332,The Karate Kid,Sony,$359.10 ,$176.60 ,49.20%,$182.50 ,50.80%,2010
333,Home Alone 2: Lost in New York,Fox,$359.00 ,$173.60 ,48.40%,$185.40 ,51.60%,1992
334,Hotel Transylvania,Sony,$358.40 ,$148.30 ,41.40%,$210.10 ,58.60%,2012
335,Minority Report,Fox,$358.40 ,$132.10 ,36.90%,$226.30 ,63.10%,2002
336,Your Name.,FUN,$358.00 ,$5.00 ,1.40%,$353.00 ,98.60%,2017
337,Top Gun,Par.,$356.80 ,$179.80 ,50.40%,$177.00 ,49.60%,1986^
338,The Legend of Tarzan,WB,$356.70 ,$126.60 ,35.50%,$230.10 ,64.50%,2016
339,American Beauty,DW,$356.30 ,$130.10 ,36.50%,$226.20 ,63.50%,1999
340,Apollo 13,Uni.,$355.20 ,$173.80 ,48.90%,$181.40 ,51.10%,1995^
341,Rain Man,MGM,$354.80 ,$172.80 ,48.70%,$182.00 ,51.30%,1988
342,The Great Gatsby (2013),WB,$353.60 ,$144.80 ,41.00%,$208.80 ,59.00%,2013
343,X-Men: First Class,Fox,$353.60 ,$146.40 ,41.40%,$207.20 ,58.60%,2011
344,Basic Instinct,TriS,$352.90 ,$117.70 ,33.40%,$235.20 ,66.60%,1992
345,Murder on the Orient Express (2017),Fox,$352.80 ,$102.80 ,29.10%,$250.00 ,70.90%,2017
346,The Angry Birds Movie,Sony,$352.30 ,$107.50 ,30.50%,$244.80 ,69.50%,2016
347,GoldenEye,MGM,$352.20 ,$106.40 ,30.20%,$245.80 ,69.80%,1995
348,Catch Me If You Can,DW,$352.10 ,$164.60 ,46.80%,$187.50 ,53.20%,2002
349,Now You See Me,LG/S,$351.70 ,$117.70 ,33.50%,$234.00 ,66.50%,2013
350,Hannibal,MGM,$351.70 ,$165.10 ,46.90%,$186.60 ,53.10%,2001
351,The Mask,NL,$351.60 ,$119.90 ,34.10%,$231.60 ,65.90%,1994
352,Peter Rabbit,Sony,$351.30 ,$115.30 ,32.80%,$236.00 ,67.20%,2018
353,Speed,Fox,$350.40 ,$121.20 ,34.60%,$229.20 ,65.40%,1994
354,Dinosaur,BV,$349.80 ,$137.70 ,39.40%,$212.10 ,60.60%,2000
355,Deep Impact,Par.,$349.50 ,$140.50 ,40.20%,$209.00 ,59.80%,1998
356,Dr. Seuss' The Lorax,Uni.,$348.80 ,$214.00 ,61.40%,$134.80 ,38.60%,2012
357,The Maze Runner,Fox,$348.30 ,$102.40 ,29.40%,$245.90 ,70.60%,2014
358,The Smurfs 2,Sony,$347.50 ,$71.00 ,20.40%,$276.50 ,79.60%,2013
359,National Treasure,BV,$347.50 ,$173.00 ,49.80%,$174.50 ,50.20%,2004
360,Rush Hour 2,NL,$347.30 ,$226.20 ,65.10%,$121.20 ,34.90%,2001
361,"I, Robot",Fox,$347.20 ,$144.80 ,41.70%,$202.40 ,58.30%,2004
362,Trolls,Fox,$346.90 ,$153.70 ,44.30%,$193.20 ,55.70%,2016
363,xXx: The Return of Xander Cage,Par.,$346.10 ,$44.90 ,13.00%,$301.20 ,87.00%,2017
364,Pocahontas,BV,$346.10 ,$141.60 ,40.90%,$204.50 ,59.10%,1995
365,How the Grinch Stole Christmas,Uni.,$345.10 ,$260.00 ,75.30%,$85.10 ,24.70%,2000
366,Star Trek Beyond,Par.,$343.50 ,$158.80 ,46.20%,$184.60 ,53.80%,2016
367,Alvin and the Chipmunks: Chipwrecked,Fox,$342.70 ,$133.10 ,38.80%,$209.60 ,61.20%,2011
368,The Flintstones,Uni.,$341.60 ,$130.50 ,38.20%,$211.10 ,61.80%,1994
369,Wanted,Uni.,$341.40 ,$134.50 ,39.40%,$206.90 ,60.60%,2008
370,Enchanted,BV,$340.50 ,$127.80 ,37.50%,$212.70 ,62.50%,2007
371,300: Rise of An Empire,WB,$337.60 ,$106.60 ,31.60%,$231.00 ,68.40%,2014
372,Batman Forever,WB,$336.50 ,$184.00 ,54.70%,$152.50 ,45.30%,1995
373,Prince of Persia: The Sands of Time,BV,$336.40 ,$90.80 ,27.00%,$245.60 ,73.00%,2010
374,The Nun,WB (NL),$336.10 ,$110.40 ,32.90%,$225.70 ,67.10%,2018
375,Over the Hedge,P/DW,$336.00 ,$155.00 ,46.10%,$181.00 ,53.90%,2006
376,Journey 2: The Mysterious Island,WB (NL),$335.30 ,$103.90 ,31.00%,$231.40 ,69.00%,2012
377,The Rock,BV,$335.10 ,$134.10 ,40.00%,$201.00 ,60.00%,1996
378,The Great Wall,Uni.,$334.90 ,$45.50 ,13.60%,$289.40 ,86.40%,2017
379,Now You See Me 2,LG/S,$334.90 ,$65.10 ,19.40%,$269.80 ,80.60%,2016
380,A Quiet Place,Par.,$334.50 ,$188.00 ,56.20%,$146.50 ,43.80%,2018
381,The Curious Case of Benjamin Button,Par.,$333.90 ,$127.50 ,38.20%,$206.40 ,61.80%,2008
382,Indiana Jones and the Temple of Doom,Par.,$333.10 ,$179.90 ,54.00%,$153.20 ,46.00%,1984
383,Tomorrow Never Dies,MGM,$333.00 ,$125.30 ,37.60%,$207.70 ,62.40%,1997
384,The Good Dinosaur,BV,$332.20 ,$123.10 ,37.10%,$209.10 ,62.90%,2015
385,Back to the Future Part II,Uni.,$332.00 ,$118.50 ,35.70%,$213.50 ,64.30%,1989
386,22 Jump Street,Sony,$331.30 ,$191.70 ,57.90%,$139.60 ,42.10%,2014
387,Fantastic Four (2005),Fox,$330.60 ,$154.70 ,46.80%,$175.90 ,53.20%,2005
388,Meet the Parents,Uni.,$330.40 ,$166.20 ,50.30%,$164.20 ,49.70%,2000
389,Who Framed Roger Rabbit,BV,$329.80 ,$156.50 ,47.40%,$173.40 ,52.60%,1988
390,Black Swan,FoxS,$329.40 ,$107.00 ,32.50%,$222.40 ,67.50%,2010
391,The Perfect Storm,WB,$328.70 ,$182.60 ,55.60%,$146.10 ,44.40%,2000
392,Crocodile Dundee,Par.,$328.20 ,$174.80 ,53.30%,$153.40 ,46.70%,1986
393,Seven,NL,$327.30 ,$100.10 ,30.60%,$227.20 ,69.40%,1995
394,The Devil Wears Prada,Fox,$326.60 ,$124.70 ,38.20%,$201.80 ,61.80%,2006
395,Taken 3,Fox,$326.50 ,$89.30 ,27.30%,$237.20 ,72.70%,2015
396,The Hunchback of Notre Dame,BV,$325.30 ,$100.10 ,30.80%,$225.20 ,69.20%,1996
397,A Christmas Carol (2009),BV,$325.30 ,$137.90 ,42.40%,$187.40 ,57.60%,2009
398,The SpongeBob Movie: Sponge Out of Water,Par.,$325.20 ,$163.00 ,50.10%,$162.20 ,49.90%,2015
399,Megamind,P/DW,$321.90 ,$148.40 ,46.10%,$173.50 ,53.90%,2010
400,Lethal Weapon 3,WB,$321.70 ,$144.70 ,45.00%,$177.00 ,55.00%,1992
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
401,Robin Hood,Uni.,$321.70 ,$105.30 ,32.70%,$216.40 ,67.30%,2010
402,Inglourious Basterds,Wein.,$321.50 ,$120.50 ,37.50%,$200.90 ,62.50%,2009
403,Schindler's List,Uni.,$321.30 ,$96.10 ,29.90%,$225.20 ,70.10%,1993^
404,101 Dalmatians (1996),BV,$320.70 ,$136.20 ,42.50%,$184.50 ,57.50%,1996
405,The Conjuring 2,WB (NL),$320.40 ,$102.50 ,32.00%,$217.90 ,68.00%,2016
406,Fatal Attraction,Par.,$320.10 ,$156.60 ,48.90%,$163.50 ,51.10%,1987
407,The Last Airbender,Par.,$319.70 ,$131.80 ,41.20%,$187.90 ,58.80%,2010
408,The Conjuring,WB (NL),$319.50 ,$137.40 ,43.00%,$182.10 ,57.00%,2013
409,The Proposal,BV,$317.40 ,$164.00 ,51.70%,$153.40 ,48.30%,2009
410,Beverly Hills Cop,Par.,$316.40 ,$234.80 ,74.20%,$81.60 ,25.80%,1984
411,Air Force One,Sony,$315.20 ,$173.00 ,54.90%,$142.20 ,45.10%,1997
412,The Expendables 2,LGF,$315.00 ,$85.00 ,27.00%,$229.90 ,73.00%,2012
413,Chicken Little,BV,$314.40 ,$135.40 ,43.10%,$179.00 ,56.90%,2005
414,As Good as It Gets,Sony,$314.20 ,$148.50 ,47.30%,$165.70 ,52.70%,1997
415,A Beautiful Mind,Uni.,$313.50 ,$170.70 ,54.50%,$142.80 ,45.50%,2001
416,Maze Runner: The Scorch Trials,Fox,$312.30 ,$81.70 ,26.20%,$230.60 ,73.80%,2015
417,Resident Evil: The Final Chapter,SGem,$312.20 ,$26.80 ,8.60%,$285.40 ,91.40%,2017
418,Austin Powers: The Spy Who Shagged Me,NL,$312.00 ,$206.00 ,66.00%,$106.00 ,34.00%,1999
419,The LEGO Batman Movie,WB,$312.00 ,$175.80 ,56.30%,$136.20 ,43.70%,2017
420,Ocean's Thirteen,WB,$311.30 ,$117.20 ,37.60%,$194.20 ,62.40%,2007
421,Little Fockers,Uni.,$310.70 ,$148.40 ,47.80%,$162.20 ,52.20%,2010
422,The Polar Express,WB,$310.60 ,$186.50 ,60.00%,$124.10 ,40.00%,2004^
423,Bolt,BV,$310.00 ,$114.10 ,36.80%,$195.90 ,63.20%,2008
424,Ransom,BV,$309.50 ,$136.50 ,44.10%,$173.00 ,55.90%,1996
425,Runaway Bride,Par.,$309.50 ,$152.30 ,49.20%,$157.20 ,50.80%,1999
426,The Blind Side,WB,$309.20 ,$256.00 ,82.80%,$53.20 ,17.20%,2009
427,The Fault in our Stars,Fox,$307.20 ,$124.90 ,40.70%,$182.30 ,59.30%,2014
428,The Pursuit of Happyness,Sony,$307.10 ,$163.60 ,53.30%,$143.50 ,46.70%,2006
429,Rise of the Guardians,P/DW,$306.90 ,$103.40 ,33.70%,$203.50 ,66.30%,2012
430,Close Encounters of the Third Kind,Col.,$306.90 ,$135.20 ,44.10%,$171.70 ,55.90%,1977^
431,Chicago,Mira.,$306.80 ,$170.70 ,55.60%,$136.10 ,44.40%,2002
432,Annabelle: Creation,WB (NL),$306.50 ,$102.10 ,33.30%,$204.40 ,66.70%,2017
433,Wonder,LGF,$305.90 ,$132.40 ,43.30%,$173.50 ,56.70%,2017
434,Wrath of the Titans,WB,$305.30 ,$83.70 ,27.40%,$221.60 ,72.60%,2012
435,A Good Day to Die Hard,Fox,$304.70 ,$67.30 ,22.10%,$237.30 ,77.90%,2013
436,Mulan,BV,$304.30 ,$120.60 ,39.60%,$183.70 ,60.40%,1998
437,Skyscraper,Uni.,$303.50 ,$67.80 ,22.30%,$235.70 ,77.70%,2018
438,Passengers (2016),Sony,$303.10 ,$100.00 ,33.00%,$203.10 ,67.00%,2016
439,Battleship,Uni.,$303.00 ,$65.40 ,21.60%,$237.60 ,78.40%,2012
440,Dangal,UTV,$302.90 ,$12.40 ,4.10%,$290.50 ,95.90%,2016
441,Liar Liar,Uni.,$302.70 ,$181.40 ,59.90%,$121.30 ,40.10%,1997
442,G.I. Joe: The Rise of Cobra,Par.,$302.50 ,$150.20 ,49.70%,$152.30 ,50.30%,2009
443,Hook,TriS,$300.90 ,$119.70 ,39.80%,$181.20 ,60.20%,1991
444,Rocky IV,UA,$300.50 ,$127.90 ,42.60%,$172.60 ,57.40%,1985
445,Rambo: First Blood Part II,TriS,$300.40 ,$150.40 ,50.10%,$150.00 ,49.90%,1985
446,Van Helsing,Uni.,$300.30 ,$120.20 ,40.00%,$180.10 ,60.00%,2004
447,Resident Evil: Afterlife,SGem,$300.20 ,$60.10 ,20.00%,$240.10 ,80.00%,2010
448,Superman,WB,$300.20 ,$134.20 ,44.70%,$166.00 ,55.30%,1978
449,Stuart Little,Sony,$300.10 ,$140.00 ,46.70%,$160.10 ,53.30%,1999
450,Beverly Hills Cop II,Par.,$300.00 ,$153.70 ,51.20%,$146.30 ,48.80%,1987
451,Alice Through the Looking Glass,BV,$299.50 ,$77.00 ,25.70%,$222.40 ,74.30%,2016
452,My Best Friend's Wedding,Sony,$299.30 ,$127.10 ,42.50%,$172.20 ,57.50%,1997
453,Real Steel,BV,$299.30 ,$85.50 ,28.60%,$213.80 ,71.40%,2011
454,The Divergent Series: Insurgent,LG/S,$297.30 ,$130.20 ,43.80%,$167.10 ,56.20%,2015
455,Dr. Seuss' Horton Hears a Who!,Fox,$297.10 ,$154.50 ,52.00%,$142.60 ,48.00%,2008
456,Look Who's Talking,TriS,$297.00 ,$140.10 ,47.20%,$156.90 ,52.80%,1989
457,Ocean's 8,WB,$296.80 ,$139.40 ,47.00%,$157.40 ,53.00%,2018
458,Austin Powers in Goldmember,NL,$296.70 ,$213.30 ,71.90%,$83.30 ,28.10%,2002
459,Miss Peregrine's Home for Peculiar Children,Fox,$296.50 ,$87.20 ,29.40%,$209.20 ,70.60%,2016
460,X-Men,Fox,$296.30 ,$157.30 ,53.10%,$139.00 ,46.90%,2000
461,Ferdinand,Fox,$296.10 ,$84.40 ,28.50%,$211.70 ,71.50%,2017
462,Ghostbusters,Col.,$295.20 ,$242.20 ,82.00%,$53.00 ,18.00%,1984^
463,Shutter Island,Par.,$294.80 ,$128.00 ,43.40%,$166.80 ,56.60%,2010
464,Doctor Dolittle,Fox,$294.50 ,$144.20 ,49.00%,$150.30 ,51.00%,1998
465,Salt,Sony,$293.50 ,$118.30 ,40.30%,$175.20 ,59.70%,2010
466,G-Force,BV,$292.80 ,$119.40 ,40.80%,$173.40 ,59.20%,2009
467,The Departed,WB,$291.50 ,$132.40 ,45.40%,$159.10 ,54.60%,2006
468,What Lies Beneath,DW,$291.40 ,$155.50 ,53.30%,$136.00 ,46.70%,2000
469,Pacific Rim Uprising,Uni.,$290.50 ,$59.60 ,20.50%,$230.90 ,79.50%,2018
470,Shakespeare in Love,Mira.,$289.30 ,$100.30 ,34.70%,$189.00 ,65.30%,1998
471,Fantastic Four: Rise of the Silver Surfer,Fox,$289.00 ,$131.90 ,45.60%,$157.10 ,54.40%,2007
472,Divergent,LG/S,$288.90 ,$150.90 ,52.30%,$137.90 ,47.70%,2014
473,Coming to America,Par.,$288.80 ,$128.20 ,44.40%,$160.60 ,55.60%,1988
474,The Bourne Supremacy,Uni.,$288.50 ,$176.20 ,61.10%,$112.30 ,38.90%,2004
475,Bridesmaids,Uni.,$288.40 ,$169.10 ,58.60%,$119.30 ,41.40%,2011
476,Sex and the City 2,WB (NL),$288.30 ,$95.30 ,33.10%,$193.00 ,66.90%,2010
477,Maze Runner: The Death Cure,Fox,$288.30 ,$58.00 ,20.10%,$230.20 ,79.90%,2018
478,Casper,Uni.,$287.90 ,$100.30 ,34.80%,$187.60 ,65.20%,1995
479,Bee Movie,P/DW,$287.60 ,$126.60 ,44.00%,$161.00 ,56.00%,2007
480,American Pie 2,Uni.,$287.60 ,$145.10 ,50.50%,$142.50 ,49.50%,2001
481,Pitch Perfect 2,Uni.,$287.50 ,$184.30 ,64.10%,$103.20 ,35.90%,2015
482,The Green Mile,WB,$286.80 ,$136.80 ,47.70%,$150.00 ,52.30%,1999
483,Oblivion,Uni.,$286.20 ,$89.10 ,31.10%,$197.10 ,68.90%,2013
484,Elysium,TriS,$286.10 ,$93.10 ,32.50%,$193.10 ,67.50%,2013
485,Lethal Weapon 4,WB,$285.40 ,$130.40 ,45.70%,$155.00 ,54.30%,1998
486,Wedding Crashers,NL,$285.20 ,$209.30 ,73.40%,$75.90 ,26.60%,2005
487,John Carter,BV,$284.10 ,$73.10 ,25.70%,$211.10 ,74.30%,2012
488,Turbo,Fox,$282.60 ,$83.00 ,29.40%,$199.50 ,70.60%,2013
489,Bridget Jones's Diary,Mira.,$281.90 ,$71.50 ,25.40%,$210.40 ,74.60%,2001
490,Split,Uni.,$278.50 ,$138.30 ,49.70%,$140.20 ,50.30%,2017
491,The Tourist,Sony,$278.30 ,$67.60 ,24.30%,$210.70 ,75.70%,2010
492,Scary Movie,Mira.,$278.00 ,$157.00 ,56.50%,$121.00 ,43.50%,2000
493,XXX,SonR,$277.40 ,$142.10 ,51.20%,$135.30 ,48.80%,2002
494,The Bourne Legacy,Uni.,$276.10 ,$113.20 ,41.00%,$162.90 ,59.00%,2012
495,Spirited Away,BV,$276.10 ,$11.30 ,4.10%,$264.90 ,95.90%,2002^
496,Mr. Peabody & Sherman,Fox,$275.70 ,$111.50 ,40.40%,$164.20 ,59.60%,2014
497,Scooby-Doo,WB,$275.70 ,$153.30 ,55.60%,$122.40 ,44.40%,2002
498,Lincoln,BV,$275.30 ,$182.20 ,66.20%,$93.10 ,33.80%,2012
499,Lara Croft: Tomb Raider,Par.,$274.70 ,$131.20 ,47.70%,$143.50 ,52.30%,2001
500,The Expendables,LGF,$274.50 ,$103.10 ,37.60%,$171.40 ,62.40%,2010
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
501,Cloudy with a Chance of Meatballs 2,Sony,$274.30 ,$119.80 ,43.70%,$154.50 ,56.30%,2013
502,The Nutty Professor (1996),Uni.,$274.00 ,$128.80 ,47.00%,$145.10 ,53.00%,1996
503,Tomb Raider,WB,$273.80 ,$57.40 ,21.00%,$216.40 ,79.00%,2018
504,Jerry Maguire,Sony,$273.60 ,$154.00 ,56.30%,$119.60 ,43.70%,1996
505,Bad Boys II,Sony,$273.30 ,$138.60 ,50.70%,$134.70 ,49.30%,2003
506,Lilo & Stitch,BV,$273.10 ,$145.80 ,53.40%,$127.30 ,46.60%,2002
507,The Silence of the Lambs,Orion,$272.70 ,$130.70 ,47.90%,$142.00 ,52.10%,1991
508,Grown Ups,Sony,$271.40 ,$162.00 ,59.70%,$109.40 ,40.30%,2010
509,Neighbors,Uni.,$270.70 ,$150.20 ,55.50%,$120.50 ,44.50%,2014
510,The Firm,Par.,$270.20 ,$158.30 ,58.60%,$111.90 ,41.40%,1993
511,We're the Millers,WB (NL),$270.00 ,$150.40 ,55.70%,$119.60 ,44.30%,2013
512,Gran Torino,WB,$270.00 ,$148.10 ,54.90%,$121.90 ,45.10%,2008
513,"10,000 B.C.",WB,$269.80 ,$94.80 ,35.10%,$175.00 ,64.90%,2008
514,Epic,Fox,$268.40 ,$107.50 ,40.10%,$160.90 ,59.90%,2013
515,Exodus: Gods and Kings,Fox,$268.20 ,$65.00 ,24.20%,$203.20 ,75.80%,2014
516,Paddington,W/Dim.,$268.00 ,$76.30 ,28.50%,$191.80 ,71.50%,2015
517,Bambi,RKO,$267.40 ,$102.20 ,38.20%,$165.20 ,61.80%,1942^
518,The Princess and the Frog,BV,$267.00 ,$104.40 ,39.10%,$162.60 ,60.90%,2009
519,Batman Returns,WB,$266.80 ,$162.80 ,61.00%,$104.00 ,39.00%,1992
520,Something's Gotta Give,Sony,$266.70 ,$124.70 ,46.80%,$142.00 ,53.20%,2003
521,Indecent Proposal,Par.,$266.60 ,$106.60 ,40.00%,$160.00 ,60.00%,1993
522,American Gangster,Uni.,$266.50 ,$130.20 ,48.80%,$136.30 ,51.20%,2007
523,Waterworld,Uni.,$264.20 ,$88.20 ,33.40%,$176.00 ,66.60%,1995
524,The Truman Show,Par.,$264.10 ,$125.60 ,47.60%,$138.50 ,52.40%,1998
525,Charlie's Angels,Sony,$264.10 ,$125.30 ,47.40%,$138.80 ,52.60%,2000
526,The Fifth Element,Sony,$263.90 ,$63.80 ,24.20%,$200.10 ,75.80%,1997^
527,The Incredible Hulk,Uni.,$263.40 ,$134.80 ,51.20%,$128.60 ,48.80%,2008
528,Jumanji,Sony,$262.80 ,$100.50 ,38.20%,$162.30 ,61.80%,1995
529,Bridget Jones: The Edge of Reason,Uni.,$262.50 ,$40.20 ,15.30%,$222.30 ,84.70%,2004
530,Knight & Day,Fox,$261.90 ,$76.40 ,29.20%,$185.50 ,70.80%,2010
531,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,$261.60 ,$128.50 ,49.10%,$133.10 ,50.90%,2006
532,Total Recall,Sony,$261.30 ,$119.40 ,45.70%,$141.90 ,54.30%,1990^
533,Michael Jackson's This Is It,Sony,$261.20 ,$72.10 ,27.60%,$189.10 ,72.40%,2009
534,Robots,Fox,$260.70 ,$128.20 ,49.20%,$132.50 ,50.80%,2005
535,The Lone Ranger,BV,$260.50 ,$89.30 ,34.30%,$171.20 ,65.70%,2013
536,Super 8,Par.,$260.10 ,$127.00 ,48.80%,$133.10 ,51.20%,2011
537,Mojin: The Lost Legend,WGUSA,$259.40 ,$1.20 ,0.50%,$258.10 ,99.50%,2015
538,Blade Runner 2049,WB,$259.20 ,$92.10 ,35.50%,$167.20 ,64.50%,2017
539,Charlie's Angels: Full Throttle,Sony,$259.20 ,$100.80 ,38.90%,$158.30 ,61.10%,2003
540,Rush Hour 3,NL,$258.00 ,$140.10 ,54.30%,$117.90 ,45.70%,2007
541,The Full Monty,FoxS,$257.90 ,$46.00 ,17.80%,$212.00 ,82.20%,1997
542,Annabelle,WB (NL),$257.00 ,$84.30 ,32.80%,$172.80 ,67.20%,2014
543,The Village,BV,$256.70 ,$114.20 ,44.50%,$142.50 ,55.50%,2004
544,Lost in Hong Kong,WGUSA,$256.30 ,$1.30 ,0.50%,$255.00 ,99.50%,2015
545,Erin Brockovich,Uni.,$256.30 ,$125.60 ,49.00%,$130.70 ,51.00%,2000
546,Get Out,Uni.,$255.50 ,$176.00 ,68.90%,$79.40 ,31.10%,2017
547,Cliffhanger,TriS,$255.00 ,$84.00 ,33.00%,$171.00 ,67.00%,1993
548,Kung Fu Yoga,WGUSA,$254.20 ,$363k,0.10%,$253.80 ,99.90%,2017
549,Baahubali 2: The Conclusion,GrtIndia,$254.20 ,$20.20 ,7.90%,$234.00 ,92.10%,2017
550,Babe,Uni.,$254.10 ,$63.70 ,25.00%,$190.50 ,75.00%,1995
551,Wild Hogs,BV,$253.60 ,$168.30 ,66.30%,$85.40 ,33.70%,2007
